itemGroup,condition,prime,target,primetype
48,related-TL-final,shart,LONG,related
49,unrelated-TL-final,tigkt,LOOSE,unrelated
50,unrelated-TL-internal,mayeb,MIGHT,unrelated
51,related-TL-internal,maojr,MINOR,related
52,related-TL-final,clins,MONEY,related
53,related-TL-internal,teteh,MOUTH,related
54,related-TL-internal,uhser,MOVIE,related
55,related-TL-final,buth,NAKED,related
56,related-TL-final,scerf,NECK,related
57,unrelated-TL-internal,grene,OLIVE,unrelated
58,related-TL-internal,spary,PAINT,related
59,related-TL-final,wiole,PART,related
60,related-TL-internal,paepr,PENCIL,related
61,unrelated-TL-final,pilok,PLANE,unrelated
62,unrelated-TL-internal,boadr,PLANK,unrelated
63,related-TL-internal,idaes,PLANS,related
64,unrelated-TL-final,peash,PLUM,unrelated
65,related-TL-internal,snogs,POEMS,related
66,unrelated-TL-internal,lakse,PONDS,unrelated
67,related-TL-internal,loewr,RAISE,related
68,unrelated-TL-internal,shaev,RAZOR,unrelated
69,related-TL-final,cural,REEFS,related
70,unrelated-TL-final,monke,ROBES,unrelated
71,related-TL-internal,silde,RULER,related
72,unrelated-TL-final,boltn,SCREW,unrelated
73,unrelated-TL-final,plamt,SEED,unrelated
74,related-TL-internal,piont,SHARP,related
75,related-TL-final,balns,SHEDS,related
76,unrelated-TL-internal,metla,SHINY,unrelated
77,related-TL-final,palts,SHIRT,related
78,unrelated-TL-final,musoc,SING,unrelated
79,related-TL-final,choud,SKIES,related
80,related-TL-internal,lagre,SMALL,related
81,unrelated-TL-internal,rouhg,SMOOTH,unrelated
82,unrelated-TL-final,sleed,SNOW,unrelated
83,unrelated-TL-internal,shose,SOCKS,unrelated
84,unrelated-TL-final,courh,SOFA,unrelated
85,unrelated-TL-final,lemin,SOUR,unrelated
86,unrelated-TL-final,norlh,SOUTH,unrelated
87,related-TL-final,roond,SQUARE,related
88,unrelated-TL-final,meaks,STEAK,unrelated
89,unrelated-TL-final,rigil,STIFF,unrelated
90,related-TL-internal,sitck,STONE,related
91,unrelated-TL-final,bibke,STORY,unrelated
92,related-TL-final,braom,SWEEP,related
93,unrelated-TL-internal,salyt,SWEET,unrelated
94,related-TL-internal,chiar,TABLE,related
95,related-TL-final,hends,TAILS,related
96,unrelated-TL-final,givem,TAKEN,unrelated
97,unrelated-TL-internal,faiyr,TALES,unrelated
98,unrelated-TL-final,speaf,TALK,unrelated
99,unrelated-TL-internal,telsl,TALKS,unrelated
100,related-TL-final,omion,TEARS,related
101,unrelated-TL-internal,flesa,TICKS,unrelated
102,unrelated-TL-final,cloct,TIME,unrelated
103,related-TL-final,traln,TRACK,related
104,unrelated-TL-final,maguc,TRICK,unrelated
105,related-TL-final,stefs,TWIGS,related
106,unrelated-TL-internal,angyr,UPSET,unrelated
107,related-TL-final,clats,VESTS,related
108,related-TL-internal,selep,WAKES,related
109,related-TL-internal,pokla,WALTZ,related
110,related-TL-internal,nedes,WANTS,related
111,related-TL-final,oceln,WAVES,related
112,related-TL-final,gnass,WEEDS,related
113,related-TL-final,wafon,WHEEL,related
114,unrelated-TL-internal,blakc,WHITE,unrelated
115,related-TL-final,corms,WINES,related
116,unrelated-TL-final,girks,WOMEN,unrelated
117,unrelated-TL-final,sheey,WOOL,unrelated
118,related-TL-final,glibe,WORLD,related
119,unrelated-TL-final,valce,WORTH,unrelated
120,unrelated-TL-internal,chidl,YOUNG,unrelated
